pygame-ce 2.4.1 (SDL 2.28.5, Python 3.10.12)
         20409299 function calls (20402393 primitive calls) in 10.344 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.010    0.010 multiarray.py:1(<module>)
        3    0.000    0.000    0.010    0.003 utils.py:1(<module>)
        1    0.000    0.000    0.009    0.009 overrides.py:1(<module>)
      342    0.000    0.000    0.009    0.000 __init__.py:2578(__init__)
        1    0.000    0.000    0.009    0.009 parser.py:1(<module>)
        1    0.000    0.000    0.009    0.009 feedparser.py:1(<module>)
        1    0.000    0.000    0.009    0.009 numerictypes.py:1(<module>)
        1    0.000    0.000    0.008    0.008 _pickle.py:1(<module>)
       20    0.008    0.000    0.008    0.000 {method 'fill' of 'pygame.surface.Surface' objects}
        1    0.000    0.000    0.008    0.008 _type_aliases.py:1(<module>)
      139    0.000    0.000    0.007    0.000 __init__.py:1421(get_metadata_lines)
      183    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
        1    0.000    0.000    0.007    0.007 _policybase.py:1(<module>)
        1    0.000    0.000    0.007    0.007 specifiers.py:317(Specifier)
      317    0.001    0.000    0.007    0.000 overrides.py:142(decorator)
      342    0.007    0.000    0.007    0.000 {built-in method posix.listdir}
        1    0.000    0.000    0.007    0.007 pyparsing.py:5399(pyparsing_common)
    48/43    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1182(exec_module)
    11870    0.003    0.000    0.007    0.000 sre_parse.py:255(get)
    35846    0.007    0.000    0.007    0.000 {method 'split' of 'str' objects}
    48/43    0.003    0.000    0.007    0.000 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.007    0.007 platform.py:1(<module>)
      356    0.001    0.000    0.007    0.000 __init__.py:2066(<genexpr>)
        1    0.000    0.000    0.006    0.006 py3k.py:1(<module>)
    98/84    0.000    0.000    0.006    0.000 typing.py:401(__getitem__)
      948    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       84    0.000    0.000    0.006    0.000 typing.py:483(Union)
      220    0.001    0.000    0.006    0.000 typing.py:1016(__init__)
      139    0.000    0.000    0.005    0.000 __init__.py:1408(get_metadata)
        1    0.000    0.000    0.005    0.005 numeric.py:1(<module>)
      260    0.000    0.000    0.005    0.000 __init__.py:1401(has_metadata)
     2473    0.003    0.000    0.005    0.000 posixpath.py:71(join)
      399    0.000    0.000    0.005    0.000 __init__.py:1398(_get_metadata_path)
    13269    0.005    0.000    0.005    0.000 sre_parse.py:234(__next)
      401    0.001    0.000    0.005    0.000 __init__.py:1477(_fn)
      252    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
     1694    0.001    0.000    0.005    0.000 __init__.py:2081(dist_factory)
        3    0.000    0.000    0.004    0.001 version.py:1(<module>)
      142    0.000    0.000    0.004    0.000 __init__.py:3292(<genexpr>)
    34838    0.004    0.000    0.004    0.000 {built-in method builtins.isinstance}
     1888    0.004    0.000    0.004    0.000 version.py:444(_cmpkey)
        1    0.000    0.000    0.004    0.004 _array_like.py:1(<module>)
      141    0.000    0.000    0.004    0.000 __init__.py:2789(activate)
        5    0.004    0.001    0.004    0.001 {built-in method builtins.compile}
        1    0.000    0.000    0.004    0.004 <frozen importlib._bootstrap_external>:942(source_to_code)
        1    0.000    0.000    0.004    0.004 tags.py:1(<module>)
      682    0.001    0.000    0.004    0.000 genericpath.py:39(isdir)
      278    0.001    0.000    0.004    0.000 overrides.py:83(verify_matching_signatures)
     2100    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      322    0.004    0.000    0.004    0.000 {method 'read' of '_io.BufferedReader' objects}
      350    0.003    0.000    0.004    0.000 sre_compile.py:292(_optimize_charset)
        2    0.000    0.000    0.004    0.002 shape_base.py:1(<module>)
        7    0.000    0.000    0.003    0.000 enum.py:536(_convert_)
        1    0.000    0.000    0.003    0.003 pathlib.py:1(<module>)
     2921    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
       12    0.000    0.000    0.003    0.000 pyparsing.py:4251(__init__)
      471    0.000    0.000    0.003    0.000 pyparsing.py:1167(copy)
    36/11    0.000    0.000    0.003    0.000 pyparsing.py:3743(leaveWhitespace)
      364    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
      139    0.000    0.000    0.003    0.000 __init__.py:1615(_get)
        1    0.000    0.000    0.003    0.003 secrets.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _dtype_like.py:1(<module>)
      401    0.001    0.000    0.003    0.000 __init__.py:1483(_validate_resource_path)
     1366    0.001    0.000    0.003    0.000 __init__.py:2058(<genexpr>)
      183    0.003    0.000    0.003    0.000 {built-in method io.open_code}
      132    0.000    0.000    0.003    0.000 cp1252.py:22(decode)
        1    0.000    0.000    0.003    0.003 _internal.py:1(<module>)
      514    0.001    0.000    0.003    0.000 version.py:293(__str__)
      132    0.003    0.000    0.003    0.000 {built-in method _codecs.charmap_decode}
        1    0.000    0.000    0.003    0.003 subprocess.py:1(<module>)
        1    0.000    0.000    0.003    0.003 socket.py:1(<module>)
      471    0.001    0.000    0.003    0.000 copy.py:66(copy)
        1    0.000    0.000    0.003    0.003 zipfile.py:1(<module>)
      605    0.001    0.000    0.003    0.000 _inspect.py:96(getargspec)
      498    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
     1930    0.001    0.000    0.003    0.000 typing.py:986(__setattr__)
        1    0.000    0.000    0.003    0.003 version.py:257(Version)
      213    0.000    0.000    0.003    0.000 enum.py:359(__call__)
      183    0.002    0.000    0.003    0.000 {built-in method io.open}
      317    0.001    0.000    0.003    0.000 function_base.py:497(add_newdoc)
   131/65    0.000    0.000    0.003    0.000 pyparsing.py:3363(copy)
    61/11    0.000    0.000    0.003    0.000 pyparsing.py:3288(leaveWhitespace)
    45/12    0.000    0.000    0.003    0.000 typing.py:1046(__getitem__)
        1    0.000    0.000    0.003    0.003 _add_newdocs.py:1(<module>)
       12    0.000    0.000    0.002    0.000 pyparsing.py:2653(__init__)
        1    0.000    0.000    0.002    0.002 fromnumeric.py:1(<module>)
        1    0.000    0.000    0.002    0.002 hmac.py:1(<module>)
     5829    0.002    0.000    0.002    0.000 sre_parse.py:165(__getitem__)
3874/3870    0.001    0.000    0.002    0.000 {method 'join' of 'str' objects}
    19239    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
      412    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:391(cached)
        8    0.000    0.000    0.002    0.000 enum.py:483(_create_)
        3    0.000    0.000    0.002    0.001 pyparsing.py:1608(parseString)
     6364    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
      342    0.001    0.000    0.002    0.000 __init__.py:675(add)
        1    0.000    0.000    0.002    0.002 Main.py:1(<module>)
     2100    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
        1    0.000    0.000    0.002    0.002 _char_codes.py:1(<module>)
   131/65    0.000    0.000    0.002    0.000 pyparsing.py:3365(<listcomp>)
       39    0.000    0.000    0.002    0.000 typing.py:407(__getitem__)
      230    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
      392    0.001    0.000    0.002    0.000 typing.py:146(_type_check)
 1010/248    0.002    0.000    0.002    0.000 sre_parse.py:175(getwidth)
        1    0.000    0.000    0.002    0.002 core.py:1(<module>)
      337    0.001    0.000    0.002    0.000 functools.py:35(update_wrapper)
      302    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      175    0.000    0.000    0.002    0.000 functools.py:884(wrapper)
      326    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
       39    0.000    0.000    0.002    0.000 typing.py:532(Literal)
      265    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:169(__enter__)
      401    0.001    0.000    0.002    0.000 ntpath.py:87(isabs)
       19    0.001    0.000    0.002    0.000 __init__.py:328(namedtuple)
        1    0.000    0.000    0.002    0.002 header.py:1(<module>)
        1    0.000    0.000    0.002    0.002 npyio.py:1(<module>)
        1    0.000    0.000    0.002    0.002 shutil.py:1(<module>)
       25    0.000    0.000    0.002    0.000 pyparsing.py:1250(setParseAction)
        1    0.000    0.000    0.002    0.002 plistlib.py:1(<module>)
      763    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
       27    0.000    0.000    0.002    0.000 pyparsing.py:1039(_trim_arity)
      376    0.000    0.000    0.002    0.000 typing.py:515(<genexpr>)
      684    0.001    0.000    0.002    0.000 posixpath.py:117(splitext)
        1    0.000    0.000    0.002    0.002 pickle.py:1(<module>)
       61    0.000    0.000    0.002    0.000 pyparsing.py:3292(<listcomp>)
       90    0.000    0.000    0.002    0.000 sre_compile.py:560(_compile_info)
       26    0.000    0.000    0.002    0.000 pyparsing.py:1047(extract_stack)
       10    0.001    0.000    0.002    0.000 enum.py:180(__new__)
     9129    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
       26    0.000    0.000    0.002    0.000 traceback.py:216(extract_stack)
      175    0.000    0.000    0.002    0.000 __init__.py:2409(_)
      261    0.000    0.000    0.002    0.000 __init__.py:1603(_has)
       26    0.000    0.000    0.002    0.000 traceback.py:338(extract)
      220    0.000    0.000    0.002    0.000 typing.py:947(__init__)
      586    0.001    0.000    0.002    0.000 _inspect.py:65(getargs)
